p1        p2        p3         n(p1,p2)  n(p2,p3)  n(p1,p3)    d         p
neooli    neopul    neohel          103        81        54    0.200    0.02487583
neohel    neooli    neosav           98        72        68    0.029    0.79995641
neohel    neooli    neowal          170        35        33    0.029    0.90359735
neooli    neohel    telvit          170        34        34    0.000    1.00000000
neohel    neopul    neosav          122        66        50    0.138    0.16342317
neohel    neopul    neowal          181        30        27    0.053    0.79136643
neohel    neopul    telvit          176        33        29    0.065    0.70353667
neohel    neosav    neowal          147        56        35    0.231    0.03544959
neohel    neosav    telvit          146        54        38    0.174    0.11737016
telvit    neowal    neohel           84        81        73    0.052    0.57284597
neopul    neooli    neomar          130        55        53    0.019    0.92340104
neomar    neooli    neosav           97        87        54    0.234    0.00682955
neomar    neooli    neowal          162        39        37    0.026    0.90877693
neomar    neooli    telvit          161        44        33    0.143    0.25430467
neomar    neopul    neosav           98        90        50    0.286    0.00091311
neomar    neopul    neowal          159        43        36    0.089    0.49989688
neomar    neopul    telvit          155        51        32    0.229    0.04752489
neomar    neosav    neowal          141        55        42    0.134    0.22287765
neomar    neosav    telvit          137        55        46    0.089    0.42616002
telvit    neowal    neomar           84        82        72    0.065    0.46842078
neooli    neopul    neosav          134        60        44    0.154    0.14095629
neooli    neopul    neowal          190        25        23    0.042    0.88543350
neooli    neopul    telvit          183        30        25    0.091    0.59005333
neooli    neosav    neowal          152        48        38    0.116    0.33183435
neooli    neosav    telvit          154        47        37    0.119    0.32613417
telvit    neowal    neooli           83        80        75    0.032    0.74811095
neopul    neosav    neowal          151        48        39    0.103    0.39119097
neopul    neosav    telvit          153        45        40    0.059    0.66464549
neopul    neowal    telvit           82        79        77    0.013    0.93622040
neowal    neosav    telvit           82        82        74    0.051    0.57531548
