Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
29700	-5698.201495509192	-5683.672077272411	-14.529418236780256	0.7414113872904003	6.210984545875231	0.011000099275637928
29750	-5698.4527866845165	-5683.864517889052	-14.588268795464842	0.9941672843697159	5.553988566203594	0.011386001561088646
29800	-5696.4541326246535	-5683.148275956195	-13.305856668458274	0.559676128163655	5.0799506260081495	0.012324181133588174
29850	-5699.358629235779	-5685.934783892307	-13.42384534347214	0.5087265619563457	5.312647519187353	0.012396954528949162
29900	-5703.133921962146	-5688.279973394556	-14.853948567589917	0.3784554346720217	6.15744565693173	0.012396954528949162
29950	-5699.618158319163	-5685.195899741366	-14.422258577797015	0.6505639007874091	6.252420990483724	0.011499257662925378
30000	-5697.310272900876	-5683.105884404728	-14.204388496147782	0.5451764980283645	6.286271383720134	0.010849472673996333
30050	-5700.125555960886	-5683.604930361073	-16.520625599813997	0.4150895521049482	7.203180520345176	0.010366760770790578
30100	-5698.796142898508	-5682.796360558229	-15.999782340279008	0.5411640997863644	6.992358491681455	0.010491219963382602
30150	-5699.652473311381	-5682.664176099304	-16.988297212076528	0.3804141022309615	7.3326476234528455	0.010163327151987615
30200	-5696.998718044465	-5681.951232781956	-15.047485262509635	0.7275372910526832	6.3354921261582	0.010997517615002169
30250	-5695.240605448409	-5681.323919684512	-13.9166857638977	0.683323072012528	5.939667270102357	0.011371637925764188
30300	-5695.433337881345	-5681.079547565845	-14.353790315500081	0.8187831951246639	5.872160145935635	0.010490335740497621
30350	-5695.570829930377	-5682.048620971199	-13.522208959177984	0.5160135328678043	5.7241853063715595	0.009606511580047508
30400	-5697.557194038221	-5682.360391733944	-15.196802304276044	0.7658976695044383	6.337404930944709	0.008378365391069188
30450	-5696.57438763293	-5682.891931667118	-13.68245596581204	0.6943558834289802	5.883647649966682	0.008593959556270124
30500	-5697.275627724235	-5682.307407919315	-14.968219804920214	0.3845713877460642	6.510881778942463	0.008656645399269094
30550	-5701.387590760199	-5686.188873636327	-15.198717123871814	0.3845713877460642	6.73146424813634	0.00742807249626208
30600	-5703.396497499535	-5682.534564383967	-20.861933115567496	0.1601380575348852	7.256902687426467	0.008841759141710464
30650	-5699.827895370852	-5686.015264638581	-13.812630732270868	0.578773384966525	6.158099016357033	0.008841759141710464
30700	-5700.078153425096	-5685.521528291418	-14.556625133678846	0.3505650713473152	5.8275417559045035	0.009620827248503536
30750	-5701.062138511243	-5685.810504086663	-15.251634424579244	0.3505650713473152	6.4937754539198655	0.009620827248503536
30800	-5698.453841096462	-5685.167157101021	-13.28668399544127	0.572142182827251	5.640992984234614	0.010500383792754094
30850	-5702.641186101327	-5688.68876135695	-13.952424744377073	0.5176504531462703	4.910846276834764	0.011884627821080289
30900	-5699.880638748766	-5686.040334827657	-13.840303921109331	0.7396047815758096	4.887493381806177	0.011010639571317172
30950	-5697.130388403083	-5682.861247070986	-14.269141332097506	0.44641384672079054	5.834183886250371	0.009308809519480205
31000	-5697.1864591502	-5680.651907569898	-16.534551580301866	0.42389806782222805	7.076762085232428	0.008339125561324287
31050	-5697.065983703031	-5680.838526452375	-16.227457250655956	0.6404834397442203	6.7579843725042865	0.007653583605865655
31100	-5696.165874200733	-5681.521892291079	-14.643981909653837	0.47382516719015266	6.363314770629763	0.007653583605865655
31150	-5694.764474896513	-5680.390588495591	-14.373886400921771	0.47382516719015266	6.153421139439061	0.008501798754071541
31200	-5698.802143268857	-5680.092991842568	-18.70915142628917	0.9927603794244684	6.501680397465671	0.008181883029494406
31250	-5698.770460785644	-5681.1249296698315	-17.64553111581273	0.8783646111072037	6.576820756538156	0.007522722048013452
