P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S17	S12	S01	0.411015	12.1002	0	0.0156399	41150.2	5428	2265.75
S18	S12	S01	0.406257	11.9615	0	0.0155649	27356.9	5444.5	2298.75
S19	S12	S01	0.406324	11.9208	0	0.0155623	27352.7	5443	2297.75
S13	S14	S01	0.663972	23.2665	0	0.0309241	67958.3	7680.38	1551
S15	S13	S01	0.00136757	0.0462	0.481575	2.27e-05	80002.8	1647.5	1643
S13	S16	S01	0.00798297	0.275453	0.391484	0.000132415	80037.9	1657.25	1631
S17	S13	S01	0.426692	12.8453	0	0.019259	19097.5	6506.25	2614.5
S18	S13	S01	0.424348	12.5802	0	0.0191806	19135.8	6503.75	2628.5
S19	S13	S01	0.424316	12.5513	0	0.0191719	19128.8	6503.25	2628.5
S15	S14	S01	0.71939	28.9759	0	0.0309408	73545.6	7330.19	1196.31
S16	S14	S01	0.719242	28.2085	0	0.0308074	73684.9	7294.31	1191.19
S17	S14	S01	0.680176	44.7288	0	0.0495751	16371	12377.1	2356
S18	S14	S01	0.678343	44.52	0	0.049509	16387.8	12376.6	2372
S19	S14	S01	0.678194	44.1742	0	0.0495104	16385.8	12377.6	2373.5
S15	S16	S01	0.110116	1.03345	0.150696	0.000155088	131857	155	124.25
S17	S15	S01	0.429637	13.2316	0	0.0192302	19143	6467.5	2580.25
S18	S15	S01	0.427176	12.9669	0	0.0191549	19175	6466	2595.25
S19	S15	S01	0.427145	12.9268	0	0.0191517	19174	6465.5	2595.25
S17	S16	S01	0.430928	13.2473	0	0.0193869	19101.5	6505	2587
S18	S16	S01	0.428477	12.9769	0	0.0192924	19135.2	6503.5	2602
S19	S16	S01	0.428446	12.9377	0	0.0192989	19134.2	6503	2602
